,brand,ahri_num,zones,outdoor_model,indoor_model,hspf,in_pwr_5F_max,capacity_5F_max,in_pwr_47F_min,cop_5F_max,cop_17F_max,cop_47F_max
1107,Novair,201786769,Single,18EVONVO,18EVONVI,10.3,1.43,10274.0,0.24,2.1056029183076923,2.647791765104575,3.3783101523636363
1108,Novair,201786770,Single,24EVONVO,24EVONVI,11.5,2.4,15327.0,0.45,1.8716251207874999,2.176223084906977,3.3449915408377358
1109,Midea,201796612,Single,DLCSRAH24AAK,DLFSDAH24XAK,12.0,4.55569796,30000.0,0.458,1.92991989,1.98427017,3.13949989
1110,Mitsubishi,4217888,Single,MUZ-FE18NA,MSZ-FE18NA,10.3,3.15,21830.0,0.52,2.03,2.31,3.6
1111,Mitsubishi,4908219,Single,MUZ-FE09NA,MSZ-FE09NA,10.0,1.46,10900.0,0.15,2.19,2.12,2.34
1112,Mitsubishi,4934170,Single,MUZ-FE12NA,MSZ-FE12NA,10.5,1.62,13600.0,0.15,2.46,2.24,2.74
1113,Mitsubishi,7451794,Multi,MXZ-3C30NAHZ,Non-Ducted Indoor Units,11.0,4.79,28600.0,0.93,1.75,2.0,4.0
1114,Mitsubishi,7451969,Multi,MXZ-3C24NAHZ,Non-Ducted Indoor Units,10.0,3.82,25000.0,0.93,1.92,2.06,4.25
1115,Mitsubishi,201754291,Single,MUFZ-KJ12NAHZ,MFZ-KJ12NA,12.0,1.81,13000.0,0.27,2.1,2.29,2.8
1116,Mitsubishi Electric,201754292,Single,MUFZ-KJ15NAHZ,MFZ-KJ15NA,11.6,2.83,18000.0,0.7,1.8640562756183747,1.928099144736842,2.1486148826979474
1117,Mitsubishi,201754293,Single,MUFZ-KJ18NAHZ,MFZ-KJ18NA,11.3,3.0,21000.0,0.48,2.05,2.1,2.48
1118,Mitsubishi Electric,201754295,Single,MUZ-FE12NAH,MSZ-FE12NA,10.1,1.59,12500.0,0.15,2.30401784591195,2.341467278835979,2.7353299866666667
1119,Mitsubishi,201754296,Single,MUZ-FH09NA,MSZ-FH09NA,13.5,1.35,10900.0,0.11,2.32,2.48,3.59
1120,Mitsubishi Electric,201754297,Single,MUZ-FH09NAH,MSZ-FH09NAH,12.5,1.17,10900.0,0.11,2.73,2.84,4.15
1121,Mitsubishi,201754298,Single,MUZ-FH12NA,MSZ-FH12NA,12.5,1.8,13600.0,0.28,2.21,2.1,2.68
1122,Mitsubishi Electric,201754299,Single,MUZ-FH12NAH,MSZ-FH12NAH,11.5,1.93,13600.0,0.28,2.07,1.96,2.68
1123,Mitsubishi,201754300,Single,MUZ-FH15NA,MSZ-FH15NA,12.0,2.95,18000.0,0.43,1.79,2.13,2.09
1124,Mitsubishi Electric,201754301,Single,MUZ-FH15NAH,MSZ-FH15NA,11.0,2.98,18300.0,0.61,1.799731738590604,1.7619153613095238,2.0859764394117644
1125,Mitsubishi,201754302,Single,MUZ-FH18NA2,MSZ-FH18NA2,12.0,2.96,20300.0,0.43,2.01,2.12,2.59
1126,Mitsubishi Electric,201754303,Single,MUZ-FH18NAH2,MSZ-FH18NA,11.0,2.98,20900.0,0.85,2.0554313298657716,2.1007749265486724,2.6204001552941176
1127,Mitsubishi Electric,201754311,Single,MUZ-GL12NA-U1,MSZ-GL12NA-U1,12.5,1.02,10200.0,0.11,2.9307106999999997,2.8361716451612904,3.2744360290123455
1128,Mitsubishi Electric,201754313,Single,MUZ-GL15NA-U1,MSZ-GL15NA-U1,11.7,1.57,14100.0,0.2,2.6320395458598727,2.39122664079602,3.0473559019900494
1129,Mitsubishi Electric,201754315,Single,MUZ-GL18NA-U1,MSZ-GL18NA-U1,11.2,1.88,15100.0,0.32,2.3539218920212766,2.480880685581395,2.9307107
1130,Mitsubishi Electric,201754316,Single,MUZ-GL24NA-U1,MSZ-GL24NA-U1,10.0,2.99,20200.0,0.52,1.979945021404682,2.191352073556231,2.9628280775342466
1131,Mitsubishi Electric,201754318,Single,PUZ-A24NHA7,PLA-A24EA7,11.2,1.4,13000.0,0.45,2.7213742214285714,2.5605156642105262,4.105826584541062
1132,Mitsubishi Electric,201754319,Single,PUZ-A36NKA7,PLA-A36EA7,10.4,2.6,21600.0,0.94,2.4347442738461536,2.34456856,4.075822827814569
1135,Mitsubishi Electric,201754324,Single,SUZ-KA12NA,SEZ-KD12NA,10.0,0.9,7400.0,0.34,2.4096954644444444,2.63763963,3.162082597368421
1136,Mitsubishi Electric,201754325,Single,SUZ-KA18NA,SEZ-KD18NA,10.0,1.32,9900.0,0.26,2.198033025,2.4422589166666664,3.394171926976744
1137,Mitsubishi,201754416,Single,MUFZ-KJ09NAHZ,MFZ-KJ09NA,13.0,1.6,11000.0,0.27,2.01,2.11,2.35
1138,Mitsubishi Electric,201754425,Single,MUZ-FE09NAH,MSZ-FE09NA,10.0,1.59,11200.0,0.15,2.7709,2.1243775973544974,2.34456856
1139,Mitsubishi,201754426,Single,MUZ-FH06NA,MSZ-FH06NA,13.5,0.91,8700.0,0.11,2.8,3.13,3.23
1140,Mitsubishi Electric,201754427,Single,MUZ-FH06NAH,MSZ-FH06NAH,12.5,1.04,8700.0,0.11,2.45,2.78,3.23
1141,Mitsubishi Electric,201754444,Multi,PUMY-P36NKMU1,Ducted indoor units,10.5,3.9,30000.0,0.671,2.254392846153846,2.573306956097561,3.599118403508772
1142,Mitsubishi Electric,201754445,Multi,PUMY-P36NKMU1,Non-ducted,11.5,3.695,29000.0,0.62,2.300151834912043,2.700049341932087,3.8952483987341773
1143,Mitsubishi Electric,201754447,Multi,PUMY-P48NKMU1,Non-ducted,11.7,4.849,36400.0,0.784,2.1999973083109916,2.4999119242213848,3.7997209555822327
1144,Mitsubishi,201754490,Single,PUZ-HA36NHA5,PLA-A36BA*,10.0,5.79,38000.0,1.19,1.92,2.12,3.14
1145,Mitsubishi Electric,201754637,Multi,MXZ-8C60NA,Non-ducted,10.5,8.1,57000.0,1.053,2.062351974074074,1.999960057742782,3.41140928042328
1146,Mitsubishi Electric,201754640,Multi,PUMY-P60NKMU1,Non-ducted,11.4,8.353,57000.0,1.027,1.9998863869268526,2.299845412290233,3.49777407233273
1147,Mitsubishi Electric,201754642,Multi,MXZ-2C20NA2,Non-ducted,10.0,1.6,11100.0,0.67,2.033180548125,2.595772334285714,3.0441190570264767
1148,Mitsubishi Electric,201754648,Single,MUZ-GL09NA-U1,MSZ-GL09NA-U1,12.8,0.85,8000.0,0.23,2.7583159529411763,2.8201178433962264,3.7278640104
1149,Mitsubishi,201754904,Multi,MXZ-3C24NAHZ2,Non-Ducted Indoor Units,10.0,3.82,25000.0,0.93,1.92,2.06,4.25
1150,Mitsubishi,201754908,Multi,MXZ-3C30NAHZ2,Non-Ducted Indoor Units,11.0,4.79,28600.0,0.93,1.75,2.0,4.0
1151,Mitsubishi,201754911,Multi,MXZ-4C36NAHZ,Non-Ducted Indoor Units,11.3,5.46,45000.0,1.09,2.41,2.78,3.95
1152,Mitsubishi,201754926,Multi,MXZ-5C42NAHZ,Non-Ducted Indoor Units,11.0,5.61,48000.0,1.17,2.51,2.89,4.1
1153,Mitsubishi,201755020,Multi,MXZ-4C36NAHZ,Mixed,10.7,6.21,45000.0,1.3,2.16,2.47,3.48
1154,Mitsubishi Electric,201755026,Multi,PUMY-P36NKMU1,Mixed,11.0,3.798,29000.0,0.646,2.237772783043707,2.633929869620253,3.7413328085106383
1159,Ouellet,9085568,Single,OTP-C09000-E,OTP-C09000-I,10.5,1.334,9171.0,0.16,2.014808682886057,2.185916391614987,2.605076177777778
1160,Ouellet,9085569,Single,OTP-C12000-E,OTP-C12000-I,11.0,1.35,8800.0,0.2,1.910389197037037,2.3702719782874073,2.8221658592592593
1161,Ouellet,9085570,Single,OTP-C18000-E,OTP-C18000-I,10.5,2.6,16500.0,0.58,1.8598740980769228,2.141673203846154,2.648911594230769
1162,Ouellet,9085571,Single,OTP-C24000-E,OTP-C24000-I,10.0,3.3,20000.0,0.45,1.7761883030303032,2.0189340377777776,2.9990939496666664
1163,Panasonic,7958198,Single,CS-E9RKUA,CU-E9RKUAW,11.0,1.32,8300.0,0.2,1.8439527237181197,2.1,2.76
1164,Panasonic,7958199,Single,CS-E12RKUA,CU-E12RKUAW,11.0,1.51,9100.0,0.2,1.7672991396554738,2.14,2.79
1165,Panasonic,7958200,Single,CS-E18RKUA,CU-E18RKUAW,10.0,1.32,10100.0,0.38,2.243846085488314,2.6,3.57
1166,Panasonic,8860533,Single,CU-XE9SKUA,CS-XE9SKUA,14.0,1.73,11000.0,0.15,1.86,2.34,3.21
1167,Panasonic,8861565,Single,CU-XE12SKUA,CS-XE12SKUA,12.5,1.99,12500.0,0.15,1.84,2.2,3.2
1168,Panasonic,9125308,Single,CU-E9SD3UA,CS-E9SD3UAW,10.0,1.11,7800.0,0.25,2.0607117381310927,2.36,3.53
1169,Panasonic,9125309,Single,CU-E12SD3UA,CS-E12SD3UAW,10.0,1.52,9600.0,0.25,1.8521376755672172,2.24,3.39
1170,Panasonic,9571162,Single,CU-XE15SKUA,CS-XE15SKUA,12.0,2.32,15700.0,0.2,1.98,2.1,2.65
1171,Panasonic,10221199,Multi,CU-3E19RBU-5,Non-Ducted Indoor Unit,10.5,2.64,18900.0,0.32,2.1,2.1402479806554506,3.61
1172,Panasonic,201900210,Single,CU-XE12SKUA-1,CS-XE12SKUA-1,12.5,1.99,12500.0,0.15,1.8408986809045227,2.1986191671400004,3.2098260047619047
1173,Panasonic,201900302,Single,CU-XE15SKUA-1,CS-XE15SKUA-1,12.0,2.55,17200.0,0.2,1.9767930996078429,2.099958060629921,2.654228558490566
1174,Payne,201753410,Single,38MPRAQ09AA3,DHMPHAQ09XA3,15.0,1.936,13047.0,0.159,1.9750507491167355,2.106303820027842,2.9483885528326437
1175,Payne,201753413,Single,38MPRAQ12AA3,DHMPHAQ12XA3,14.0,2.074,12897.0,0.188,1.822438567883317,2.193868957023004,2.8371299731373543
1176,Samsung,8677407,Single,AR09KSWSJWKX,AR09KSWSJWKN,10.5,1.71,10560.000000000002,0.19,1.8098423971929827,2.2816125523703708,3.8950090593548388
1177,Samsung,10298668,Multi,AJ030MCS4CH/AA,Non-ducted,11.0,4.65,28600.0,0.45,1.802544645591398,2.0954581505000003,4.010446221052632
1178,Samsung,10298670,Multi,AJ024MCS4CH/AA,Non-ducted,10.0,4.0,25000.0,0.45,1.8316941875,2.1237034057971016,4.003703142076502
1179,Samsung,10348192,Multi,AJ020MCS3CH/AA,Non-ducted,10.0,3.3,22000.0,0.45,1.9538071333333333,2.223297772413793,4.004697850931677
1180,Samsung,8203107,Single,AC030JXSCCH/AA,AC030JN4DCH/AA,10.1,5.02,32000.0,0.9,1.8681821195219122,1.998211840909091,3.431528351265823
1181,Samsung,8203116,Single,AC036JXSCCH/AA,AC036JN4DCH/AA,10.4,6.6,40000.0,1.02,1.7761883030303032,1.9189177202380954,3.2098260047619047
1184,Samsung,8677405,Single,AR09KSWDHWKX,AR09KSWDHWKN,12.0,1.81,11088.000000000002,0.17,1.7953436597569064,2.2704002947988826,4.2260848294
1185,Samsung,8677406,Single,AR12KSWDHWKX,AR12KSWDHWKN,11.5,1.92,11968.000000000002,0.17,1.826809669666667,2.287022834276042,4.204136762478238
1186,Samsung,8677410,Single,AR24KSWSJWKX,AR24KSWSJWKN,10.7,3.89,23760.000000000004,0.48,1.7900690548071982,2.150866899671875,3.0802367561224484
1187,Samsung,201993481,Single,AR18NSWSPWKX,AR18NSWSPWKN,10.0,2.92,21040.0,0.38,2.1117175728767124,2.190088327319277,2.9658390816780824
1188,Samsung,202022716,Single,AR24NSWSPWKX,AR24NSWSPWKN,10.0,3.97,27150.0,0.48,2.004251775944584,2.191164171796875,2.511814450613333
1189,Samsung,8717080,Single,AC009KXADCH,AC009KNLDCH,10.5,1.62,10700.0,0.25,1.9357163265432098,2.283670675324675,2.7353299866666663
1190,Samsung,9035283,Single,AR09KSWSPWKX,AR09KSWSPWKN,10.5,1.96,12500.0,0.17,1.8690757015306123,2.5153768523312885,4.472047438518518
1191,Samsung,9035284,Single,AR12KSWSPWKX,AR12KSWSPWKN,10.0,2.25,14200.0,0.17,1.849604086222222,2.498816491578947,4.149322365635738
1192,Samsung,10103172,Single,AR09MSWXCWKX,AR09MSWXCWKN,10.0,1.6116000000000001,9680.000000000002,0.16,1.760317670389675,2.1941149625668444,3.677181863898117
1193,Tempstar,201835748,Single,DLCPRAH09AAK,DLFPHAH09XAK,14.5,1.936,13047.0,0.159,1.9750507491167355,2.106303820027842,2.9483885528326437
1194,Tempstar,201835750,Single,DLCPRAH12AAK,DLFPHAH12XAK,13.6,2.074,12897.0,0.188,1.822438567883317,2.193868957023004,2.8371299731373543
1195,Tempstar,201835763,Single,DLCSRAH09AAJ,DLFSHAH09XAJ,10.5,1.03405777,6880.0,0.151,1.94991906,2.32990328,3.492202
1196,Tempstar,201835765,Single,DLCSRAH12AAJ,DLFSHAH12XAJ,11.0,1.1373379293450685,7800.0,0.17,2.0099165665884,2.3332965957692298,3.508635894112149
1197,Tempstar,201835814,Single,DLCSRAH24AAK,DLFSDAH24XAK,12.0,4.55569796,30000.0,0.458,1.92991989,1.98427017,3.13949989
1198,Carrier,6960758,Single,RAS-09EAV-UL,RAS-09EKV-UL,10.0,0.895,6519.0,0.17,2.13,2.69,3.42
1199,Carrier,6960762,Single,RAS-15EAV-UL,RAS-15EKV-UL,10.0,1.215,8752.0,0.143,2.11,2.6,3.32
1200,Carrier,6960764,Single,RAS-17EAV-UL,RAS-17EKV-UL,10.0,1.221,8572.0,0.15,2.06,2.59,3.3
1201,Trane/Mitsubishi Electric,202102774,Single,MUFZ-KJ09NAHZ,MFZ-KJ09NA,13.0,1.6,11000.0,0.27,2.01,2.11,2.35
1202,Trane/Mitsubishi Electric,202102775,Single,MUFZ-KJ12NAHZ,MFZ-KJ12NA,12.0,1.81,13000.0,0.27,2.1,2.29,2.8
1203,Trane/Mitsubishi Electric,202102776,Single,MUFZ-KJ15NAHZ,MFZ-KJ15NA,11.6,2.83,18000.0,0.7,1.8640562756183747,1.928099144736842,2.1486148826979474
1204,Trane/Mitsubishi Electric,202102777,Single,MUFZ-KJ18NAHZ,MFZ-KJ18NA,11.3,3.0,21000.0,0.48,2.05,2.1,2.48
1205,Trane/Mitsubishi Electric,202102780,Single,MUZ-FH06NA,MSZ-FH06NA,13.5,0.91,8700.0,0.11,2.8,3.13,3.23
1206,Trane/Mitsubishi Electric,202102781,Single,MUZ-FH06NAH,MSZ-FH06NAH,12.5,1.04,8700.0,0.11,2.45,2.78,3.23
1207,Trane/Mitsubishi Electric,202102782,Single,MUZ-FH09NA,MSZ-FH09NA,13.5,1.35,10900.0,0.11,2.32,2.48,3.59
1208,Trane/Mitsubishi Electric,202102783,Single,MUZ-FH09NAH,MSZ-FH09NAH,12.5,1.17,10900.0,0.11,2.73,2.84,4.15
1209,Trane/Mitsubishi Electric,202102784,Single,MUZ-FH12NA,MSZ-FH12NA,12.5,1.8,13600.0,0.28,2.21,2.1,2.68
1210,Trane/Mitsubishi Electric,202102785,Single,MUZ-FH12NAH,MSZ-FH12NAH,11.5,1.93,13600.0,0.28,2.07,1.96,2.68
1211,Trane/Mitsubishi Electric,202102786,Single,MUZ-FH15NA,MSZ-FH15NA,12.0,2.95,18000.0,0.43,1.79,2.13,2.09
1212,Trane/Mitsubishi Electric,202102787,Single,MUZ-FH15NAH,MSZ-FH15NA,11.0,2.98,18300.0,0.61,1.799731738590604,1.7619153613095238,2.0859764394117644
1213,Trane/Mitsubishi Electric,202102788,Single,MUZ-FH18NA2,MSZ-FH18NA2,12.0,2.96,20300.0,0.43,2.01,2.12,2.59
1214,Trane/Mitsubishi Electric,202102789,Single,MUZ-FH18NAH2,MSZ-FH18NA,11.0,2.98,20900.0,0.85,2.0554313298657716,2.1007749265486724,2.6204001552941176
1215,Trane/Mitsubishi Electric,202102790,Single,MUZ-GL09NA-U1,MSZ-GL09NA-U1,12.8,0.85,8000.0,0.23,2.7583159529411763,2.8201178433962264,3.7278640104
1216,Trane/Mitsubishi Electric,202102791,Single,MUZ-GL12NA-U1,MSZ-GL12NA-U1,12.5,1.02,10200.0,0.11,2.9307106999999997,2.8361716451612904,3.2744360290123455
1217,Trane/Mitsubishi Electric,202102792,Single,MUZ-GL15NA-U1,MSZ-GL15NA-U1,11.7,1.57,14100.0,0.2,2.6320395458598727,2.39122664079602,3.0473559019900494
1218,Trane/Mitsubishi Electric,202102793,Single,MUZ-GL18NA-U1,MSZ-GL18NA-U1,11.2,1.88,15100.0,0.32,2.3539218920212766,2.480880685581395,2.9307107
1219,Trane/Mitsubishi Electric,202102794,Single,MUZ-GL24NA-U1,MSZ-GL24NA-U1,10.0,2.99,20200.0,0.52,1.979945021404682,2.191352073556231,2.9628280775342466
1220,Trane/Mitsubishi Electric,202102758,Multi,MXZ-2C20NA2,Non-Ducted Indoor Units,10.0,1.6,11100.0,0.67,2.033180548125,2.595772334285714,3.0441190570264767
1221,Trane/Mitsubishi Electric,202102761,Multi,MXZ-3C24NAHZ2,Non-Ducted Indoor Units,10.0,3.82,25000.0,0.93,1.92,2.06,4.25
1222,Trane/Mitsubishi Electric,202102763,Multi,MXZ-3C30NAHZ2,Non-Ducted Indoor Units,11.0,4.79,28600.0,0.93,1.75,2.0,4.0
1223,Trane/Mitsubishi Electric,202102765,Multi,MXZ-4C36NAHZ,Non-Ducted Indoor Units,11.3,5.46,45000.0,1.09,2.41,2.78,3.95
1224,Trane/Mitsubishi Electric,202102872,Multi,MXZ-4C36NAHZ,Mixed,10.7,6.21,45000.0,1.3,2.16,2.47,3.48
1225,Trane/Mitsubishi Electric,202102767,Multi,MXZ-5C42NAHZ,Non-Ducted Indoor Units,11.0,5.61,48000.0,1.17,2.51,2.89,4.1
1226,Trane/Mitsubishi Electric,202102770,Multi,MXZ-8C60NA-U*,Non-Ducted Indoor Units,10.5,8.1,57000.0,1.053,2.062351974074074,1.999960057742782,3.41140928042328
1227,Trane/Mitsubishi Electric,202102755,Multi,PUMY-P36NKMU*,Ducted indoor units,10.5,3.9,30000.0,0.671,2.254392846153846,2.573306956097561,3.599118403508772
1228,Trane/Mitsubishi Electric,202102771,Multi,PUMY-P36NKMU*,Non-Ducted Indoor Units,11.5,3.695,29000.0,0.62,2.300151834912043,2.700049341932087,3.8952483987341773
1229,Trane/Mitsubishi Electric,202102878,Multi,PUMY-P36NKMU*,Mixed,11.0,3.798,29000.0,0.646,2.237772783043707,2.633929869620253,3.7413328085106383
1230,Trane/Mitsubishi Electric,202102772,Multi,PUMY-P48NKMU*,Non-Ducted Indoor Units,11.7,4.849,36400.0,0.784,2.1999973083109916,2.4999119242213848,3.7997209555822327
1231,Trane/Mitsubishi Electric,202102773,Multi,PUMY-P60NKMU*,Non-Ducted Indoor Units,11.4,8.353,57000.0,1.027,1.9998863869268526,2.299845412290233,3.49777407233273
1232,Trane/Mitsubishi Electric,202102812,Single,PUZ-A24NHA7***,PLA-A24EA7,11.2,1.4,13000.0,0.45,2.7213742214285714,2.5605156642105262,4.105826584541062
1233,Trane/Mitsubishi Electric,202102822,Single,PUZ-A36NKA7***,PLA-A36EA7,10.4,2.6,21600.0,0.94,2.4347442738461536,2.34456856,4.075822827814569
1235,Trane/Mitsubishi Electric,202102837,Single,PUZ-HA36NHA5,PLA-A36BA*,10.0,5.79,38000.0,1.19,1.92,2.12,3.14
1237,Trane/Mitsubishi Electric,202102846,Single,SUZ-KA12NA,SEZ-KD12NA,10.0,0.9,7400.0,0.34,2.4096954644444444,2.63763963,3.162082597368421
1238,Trane/Mitsubishi Electric,202102853,Single,SUZ-KA18NA,SEZ-KD18NA,10.0,1.32,9900.0,0.26,2.198033025,2.4422589166666664,3.394171926976744
1259,Trane,7151531,Single,4TXK2709A10N0AA,4MXW2709A10N0AA,10.0,1.095,8000.0,0.1,2.141158502283105,2.4736350115698684,2.579025416
1260,Trane,7151533,Single,4TXK2712A10NAA,4MXW2712A10N0AA,10.0,1.131,8300.0,0.1,2.150742600353669,2.5244735732673265,3.0392555407407404
1261,Trane,7151535,Single,4TXK2718A10N0AA,4MXW2718A10N0AA,10.0,2.29,15400.0,0.4,1.970870951091703,2.2435331638832685,2.7199339864559997
1270,Trane,9150121,Single,4TXK3809A10NUAA,4MXW3809A10NUAA,15.0,1.72,12210.0,0.2,2.0804638166860463,2.402110843462358,2.6571777013333335
1271,Trane,9150123,Single,4TXK3812A10NUAA,4MXW3812A10NUAA,14.0,1.789,13304.0,0.25,2.179439639619899,2.6376396300000002,3.4252681306249997
1272,Trane,9150125,Single,4TXK3818A10NUAA,4MXW3818A10NUAA,12.0,3.3,20634.0,0.35,1.8324934722363637,2.083058989846154,2.8603736432
1273,Trane,9150127,Single,4TXK3824A10NUAA,4MXW3824A10NUAA,12.0,3.175,24233.0,0.38,2.2368476344283463,2.2765233692428275,2.5663520724324322
